用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,脱网次数,mos质差次数,未接通掉话次数,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否投诉,其他,医院,地下,山区,电梯,道路,其他.1
2564,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,0.0,280.0,0.0,欧珀,PEMM00,45.0,280.0,0.0,281.0,0.0,3401825.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2565,5.0,7.0,6.0,6.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,0.0,4G,,837.81,是,21.65,0.0,326.0,0.0,苹果,A2223,91.94,326.0,0.0,274.0,0.0,28347670.0,0.0,否,未评级,0.0,-1,-1,-1,-1,-1,-1,-1
2566,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,4G,,0.0,是,0.0,0.0,591.0,0.0,华为,BMH-AN10,70.0,591.0,0.0,987.0,0.0,30076353.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2567,10.0,10.0,10.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,52.0,0.0,4G,,0.0,是,0.0,0.0,334.0,0.0,苹果,A2634,54.2,334.0,0.0,415.0,0.0,12323021.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2568,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,1.0,5G,,0.0,是,0.0,0.0,965.0,0.0,华为,NOP-AN00,125.0,965.0,0.0,997.0,0.0,3410786.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2569,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8.0,0.0,4G,,0.0,是,0.0,0.0,150.0,0.0,小米科技,M1908C3KE,68.0,150.0,0.0,875.0,0.0,1103085.0,0.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
2570,7.0,5.0,4.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,5.0,0.0,5G,,0.0,是,0.0,0.0,205.0,0.0,苹果,A2404,108.98,205.0,0.0,173.0,0.0,32553332.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2571,10.0,10.0,10.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,4.0,0.0,4G,,0.0,是,0.0,0.0,396.0,0.0,苹果,A2104,95.08,396.0,0.0,280.0,0.0,43290231.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2572,10.0,9.0,9.0,9.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,5.0,4G,,0.0,是,0.0,0.0,195.0,0.0,小米科技,M1803D5XA,30.0,195.0,0.0,357.0,0.0,2710041.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2573,3.0,3.0,3.0,3.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,5.0,0.0,4G,是,0.0,是,0.0,0.0,94.0,0.0,苹果,A2100,90.0,94.0,0.0,238.0,0.0,41926362.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2574,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,10.0,0.0,4G,,0.0,是,0.0,0.0,401.0,0.0,步步高,V2164A,45.98,401.0,0.0,331.0,0.0,184041.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2575,8.0,8.0,8.0,8.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,18.0,0.0,4G,,0.0,是,0.0,0.0,370.0,0.0,华为,TAS-AL00,168.0,370.0,0.0,340.0,0.0,4846400.0,0.0,否,银卡,0.0,1,-1,-1,-1,-1,-1,-1
2576,10.0,9.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,4G,,0.0,是,0.0,0.0,159.0,0.0,苹果,A2298,66.2,159.0,0.0,545.0,0.0,13749709.0,0.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
2577,10.0,10.0,10.0,9.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,146.0,0.0,华为,BLA-AL00,65.0,146.0,0.0,156.0,0.0,45084926.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2578,10.0,10.0,10.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,18.0,2.0,0.0,5G,,0.0,是,0.0,0.0,161.0,0.0,华为,OXF-AN00,70.0,161.0,0.0,138.0,0.0,4770965.0,0.0,是,二星,0.0,-1,-1,-1,-1,-1,-1,1
2579,10.0,10.0,10.0,10.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,17.0,1.0,0.0,5G,,0.0,是,0.0,0.0,244.0,0.0,华为,HJC-AN90,47.91,244.0,0.0,830.0,0.0,30679135.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2580,10.0,8.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,18.0,14.0,0.0,4G,,0.0,是,0.0,0.0,422.0,0.0,华为,ELE-AL00,128.0,422.0,0.0,406.0,0.0,48829065.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2581,10.0,9.0,9.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,12.0,1.0,4G,,0.0,是,0.0,0.0,220.0,0.0,华为,EVA-AL10,138.0,220.0,0.0,201.0,0.0,7743016.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2582,9.0,7.0,8.0,8.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,17.0,0.0,0.0,4G,,0.0,是,0.0,0.0,276.0,0.0,苹果,A2104,100.0,276.0,0.0,420.0,0.0,7727321.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2583,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,0.0,4G,,0.0,是,0.0,0.0,116.0,0.0,华为,ELS-AN00,63.8,116.0,0.0,301.0,0.0,3617515.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2584,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,3.0,0.0,5G,,0.0,是,0.0,0.0,156.0,0.0,苹果,A2400,10.0,156.0,0.0,487.0,0.0,2515342.0,0.0,是,二星,0.0,-1,-1,-1,-1,-1,-1,-1
2585,9.0,7.0,8.0,9.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,17.0,10.0,1.0,5G,,0.0,是,0.0,0.0,360.0,0.0,苹果,iPhone 8 Plus A1864,110.0,360.0,0.0,619.0,0.0,40690335.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2586,7.0,6.0,7.0,8.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,17.0,1.0,0.0,4G,,0.0,是,0.0,0.0,240.0,0.0,苹果,iPhone X A1865,25.0,240.0,0.0,152.0,0.0,10462542.0,0.0,否,一星,0.0,-1,-1,-1,-1,-1,-1,-1
2587,8.0,9.0,8.0,8.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,14.0,1.0,4G,,0.0,是,0.0,0.0,689.0,0.0,苹果,iPhone XR (A1984),80.0,689.0,0.0,867.0,0.0,9028938.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2588,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,2G,,0.0,否,0.0,0.0,587.0,0.0,华为,BLA-AL00,52.94,587.0,0.0,560.0,0.0,23.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2589,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,14.0,2.0,4G,,0.0,是,0.0,0.0,352.0,0.0,苹果,A2108,48.75,352.0,0.0,516.0,0.0,4627630.0,0.0,否,三星,0.0,1,-1,-1,-1,-1,-1,-1
2590,10.0,10.0,10.0,10.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,6.0,0.0,4G,,0.0,是,0.0,0.0,481.0,0.0,苹果,A2404,79.0,481.0,0.0,356.0,0.0,13640401.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2591,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,17.0,11.0,3.0,4G,,0.0,是,0.0,0.0,757.0,0.0,苹果,iPhone 8 Plus A1864,192.0,757.0,0.0,1055.0,0.0,17780467.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2592,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,0.0,0.0,5G,,0.0,是,0.0,0.0,453.0,0.0,苹果,A2404,21.95,453.0,0.0,150.0,0.0,797299.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2593,10.0,9.0,10.0,9.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,4G,,0.0,是,0.0,0.0,268.0,0.0,小米科技,M2004J19C,21.3,268.0,0.0,364.0,0.0,5400413.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2594,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,4.0,0.0,4G,,0.0,是,0.0,0.0,134.0,0.0,华为,INE-AL00,40.0,134.0,0.0,174.0,0.0,4161182.0,0.0,否,三星,0.0,1,-1,-1,-1,-1,-1,-1
2595,9.0,9.0,9.0,9.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,6.0,5.0,5G,,0.0,是,0.0,0.0,1738.0,0.0,欧珀,PEUM00,125.0,1738.0,0.0,2243.0,0.0,28376462.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2596,2.0,2.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,0.0,339.0,0.0,华为,ELS-AN00,198.4,339.0,0.0,305.0,0.0,55598207.0,0.0,是,银卡,0.0,1,-1,-1,-1,-1,-1,1
2597,6.0,5.0,6.0,6.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,3.0,0.0,5G,,0.0,是,0.0,0.0,145.0,0.0,华为,NOH-AN00,128.0,145.0,0.0,334.0,0.0,9790956.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2598,10.0,8.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,0.0,301.0,0.0,苹果,A2634,30.0,301.0,0.0,414.0,0.0,3490648.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2599,8.0,9.0,9.0,9.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,17.0,30.0,4.0,5G,,0.0,是,0.0,0.0,498.0,0.0,苹果,A2644,90.0,498.0,0.0,548.0,0.0,13491176.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2600,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,4G,,0.0,是,0.0,0.0,149.0,0.0,小米科技,M2001J11C,59.0,149.0,0.0,266.0,0.0,28233081.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2601,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,5G,,0.0,是,0.0,0.0,246.0,0.0,苹果,A2639,75.0,246.0,0.0,612.0,0.0,6325873.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2602,8.0,7.0,7.0,7.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,7.0,0.0,4G,,0.0,是,0.0,0.0,292.0,0.0,华为,ELE-AL00,51.4,292.0,0.0,177.0,0.0,34250182.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2603,8.0,8.0,8.0,8.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,17.0,35.0,4.0,5G,,0.0,是,0.0,0.0,532.0,0.0,苹果,A2644,145.0,532.0,0.0,639.0,0.0,33671642.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2604,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,2.0,0.0,4G,,0.0,是,0.0,0.0,216.0,0.0,苹果,iPhone X A1865,115.0,216.0,0.0,348.0,0.0,7879021.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2605,9.0,9.0,9.0,9.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,0.0,0.0,4G,,0.0,是,0.0,0.0,327.0,0.0,小米科技,M1803E1A,56.0,327.0,0.0,385.0,0.0,8549232.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2606,7.0,6.0,8.0,8.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,18.0,16.0,0.0,4G,,0.0,是,0.0,0.0,948.0,0.0,小米科技,M1804D2SE,134.6,948.0,0.0,690.0,0.0,5872577.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2607,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,0.0,450.0,0.0,苹果,A2634,163.0,450.0,0.0,549.0,0.0,7572372.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2608,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,1.0,0.0,5G,,0.0,是,0.0,0.0,585.0,0.0,华为,ALA-AN70,23.0,585.0,0.0,506.0,0.0,3458645.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2609,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,218.0,0.0,华为,VOG-AL10,95.0,218.0,0.0,208.0,0.0,15870708.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2610,10.0,6.0,8.0,8.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,81.0,0.0,苹果,iPhone 6S Plus A1687,10.0,81.0,0.0,171.0,0.0,4668985.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2611,9.0,9.0,9.0,9.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,18.0,0.0,4G,,0.0,是,0.0,0.0,987.0,0.0,苹果,A2104,189.3,987.0,9.0,759.0,0.0,62408422.0,0.0,否,金卡,0.0,-1,-1,-1,-1,-1,-1,-1
2612,9.0,8.0,9.0,8.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,14.0,4.0,2.0,4G,,41.65,是,29.0,0.0,295.0,0.0,华为,ELE-AL00,71.0,295.0,0.0,263.0,0.0,25746747.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2613,10.0,10.0,9.0,9.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,18.0,0.0,0.0,4G,,0.0,是,0.0,0.0,250.0,0.0,苹果,iPhone 8 A1907,130.0,250.0,0.0,276.0,0.0,16817836.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2614,9.0,9.0,9.0,8.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,8.0,0.0,4G,,0.0,是,0.0,0.0,318.0,0.0,苹果,iPhone X A1865,56.0,318.0,0.0,459.0,0.0,8119812.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2615,10.0,7.0,10.0,10.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,4.0,0.0,4G,,0.0,是,0.0,0.0,261.0,0.0,苹果,iPhone 7Plus A1661,105.0,261.0,0.0,177.0,0.0,49508969.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2616,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,2.0,2.0,4G,,0.0,是,0.0,0.0,454.0,0.0,苹果,A2104,60.0,454.0,0.0,527.0,0.0,14050467.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2617,10.0,9.0,10.0,9.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,6.0,0.0,4G,,0.0,是,0.0,0.0,334.0,0.0,苹果,A2218,104.39,334.0,0.0,344.0,0.0,49701213.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2618,8.0,8.0,10.0,5.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,2.0,1.0,5G,,0.0,是,0.0,0.0,1055.0,0.0,华为,LIO-AN00,154.33,1055.0,0.0,472.0,0.0,5861017.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2619,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,12.0,1.0,5G,,0.0,是,0.0,0.0,131.0,0.0,苹果,A2412,24.3,131.0,0.0,277.0,0.0,4561841.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2620,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,5G,,0.0,是,0.0,0.0,2807.0,0.0,华为,OCE-AN10,191.73,2807.0,0.0,2885.0,0.0,18997011.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
2621,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,210.0,0.0,苹果,iPhone 7Plus A1661,79.0,210.0,0.0,397.0,0.0,2193399.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2622,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,0.0,4G,,0.0,是,0.0,0.0,223.0,0.0,华为,VOG-AL10,69.5,223.0,0.0,197.0,0.0,11948196.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2623,8.0,8.0,8.0,8.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,26.0,2.0,5G,,0.0,是,0.0,0.0,56.0,0.0,苹果,A2412,121.0,56.0,0.0,298.0,0.0,16248787.0,0.0,是,银卡,1.0,-1,-1,-1,-1,-1,-1,-1
2624,7.0,7.0,7.0,6.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,14.0,0.0,5G,,0.0,是,0.0,0.0,334.0,0.0,苹果,A2639,60.0,334.0,0.0,339.0,0.0,24262314.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2625,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,0.0,4G,,0.0,是,0.0,0.0,589.0,0.0,苹果,iPhone 7Plus A1661,59.2,589.0,0.0,448.0,0.0,36391691.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2626,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,0.0,121.0,0.0,华为,ELS-AN00,60.0,121.0,0.0,208.0,0.0,19508488.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2627,8.0,8.0,8.0,8.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,0.0,1498.0,0.0,苹果,A2408,343.9,1498.0,9.0,1022.0,0.0,107218595.0,0.0,是,钻石卡,0.0,-1,-1,-1,-1,-1,-1,-1
2628,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,14.0,3.0,5G,,0.0,是,0.0,0.0,909.0,0.0,苹果,A2639,75.0,909.0,0.0,1235.0,0.0,23229322.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2629,10.0,9.0,9.0,9.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,2.0,0.0,4G,,0.0,是,0.0,0.0,165.0,0.0,华为,TYH601M,31.0,165.0,0.0,280.0,0.0,74945.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2630,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,4G,,0.0,是,0.0,0.0,205.0,0.0,华为,AQM-AL10,25.0,205.0,0.0,224.0,0.0,9327551.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2631,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,5G,,0.0,是,0.0,0.0,452.0,0.0,步步高,V2054A,82.0,452.0,0.0,261.0,0.0,10236065.0,0.0,是,三星,1.0,-1,-1,-1,-1,-1,-1,-1
2632,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,10.0,0.0,4G,,0.0,是,0.0,0.0,208.0,0.0,苹果,A2412,58.0,208.0,0.0,321.0,0.0,23912008.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
2633,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,5G,,0.0,是,0.0,0.0,570.0,0.0,华为,TAS-AN00,108.0,570.0,0.0,396.0,0.0,6848135.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
