用户,手机上网整体满意度,网络覆盖与信号强度,手机上网速度,手机上网稳定性,上网质差次数,脱网次数,微信质差次数,套外流量（MB）,套外流量费（元）,是否不限量套餐到达用户,终端品牌,终端品牌类型,是否5G网络客户,当月MOU,客户星级标识,场景问题次数,现象问题次数,大类问题次数,小类视频问题次数,小类游戏问题次数,全部应用问题次数,性别_女,性别_性别不详,性别_男
用户3427,9,9,7,8,0,0,0,0.0,0.0,0,21,14,0,54.0,3,3,1,0,0,0,0,0,1,0
用户3428,8,8,7,7,0,0,3,0.0,0.0,0,21,14,0,200.0,3,2,3,1,0,0,0,0,0,1
用户3429,8,8,7,7,0,0,0,0.0,0.0,0,21,1,0,48.0,3,3,2,1,0,0,0,1,0,0
用户3430,8,8,10,8,0,0,0,0.0,0.0,0,8,17,1,45.0,3,0,0,0,0,0,0,0,0,1
用户3431,8,7,7,7,0,0,0,0.0,0.0,0,21,1,1,54.0,3,2,3,3,0,0,0,1,0,0
用户3432,10,10,10,10,0,0,26,0.0,0.0,0,8,17,1,276.0,4,0,0,0,0,0,0,0,0,1
用户3433,10,10,10,10,0,0,1,0.0,0.0,1,21,1,1,640.0,4,0,0,0,0,0,0,0,0,1
用户3434,8,6,7,6,0,6,0,0.0,0.0,0,21,14,0,2214.0,5,2,3,5,0,10,0,0,0,1
用户3435,8,8,8,8,0,0,0,0.0,0.0,0,21,1,0,76.0,3,1,4,2,0,0,0,0,0,1
用户3436,8,8,8,8,0,0,1,0.0,0.0,0,21,1,1,197.0,5,3,3,0,0,0,0,0,0,1
用户3437,10,10,10,9,0,0,0,0.0,0.0,0,8,17,1,114.0,3,1,1,0,0,0,0,1,0,0
用户3438,6,6,6,7,4,14,8,0.0,0.0,1,21,1,1,132.0,3,2,4,2,0,0,0,0,0,1
用户3439,10,8,8,9,0,0,1,0.0,0.0,1,21,1,1,245.0,3,0,0,0,0,0,0,1,0,0
用户3440,10,10,10,10,0,0,0,0.0,0.0,1,15,17,1,134.0,3,3,2,0,0,0,0,0,0,1
用户3441,7,7,7,8,0,0,0,0.0,0.0,0,21,1,1,464.0,3,3,3,0,0,0,0,0,0,1
用户3442,10,8,10,10,0,0,0,0.0,0.0,0,8,17,1,237.0,3,0,0,0,0,0,0,0,0,1
用户3443,1,2,2,3,1,22,0,0.0,0.0,1,21,14,0,520.0,3,4,3,0,0,0,0,1,0,0
用户3444,8,8,7,7,0,0,0,0.0,0.0,0,8,17,1,166.0,4,2,3,0,0,0,0,0,0,1
用户3445,5,5,5,5,0,0,9,0.0,0.0,1,21,1,0,730.0,4,3,4,5,0,0,0,0,0,1
用户3446,10,10,10,9,0,0,0,0.0,0.0,0,8,17,1,151.0,3,1,2,0,0,0,0,0,0,1
用户3447,4,3,3,7,1,15,4,0.0,0.0,0,11,17,0,191.0,3,1,3,1,0,0,0,0,1,0
用户3448,8,7,7,7,0,0,0,0.0,0.0,0,21,1,1,129.0,3,2,2,0,0,0,0,1,0,0
用户3449,10,10,10,10,0,0,0,0.0,0.0,0,16,1,0,254.0,4,1,1,0,0,0,0,0,0,1
用户3450,7,7,7,7,0,48,1,0.0,0.0,0,21,1,1,325.0,3,2,1,0,0,0,0,1,0,0
用户3451,4,6,4,1,0,0,0,0.0,0.0,0,21,1,1,176.0,4,2,2,0,0,0,0,0,0,1
用户3452,5,3,3,3,0,0,1,0.0,0.0,0,21,14,0,168.0,4,1,3,3,0,0,10,0,0,1
用户3453,8,8,8,8,0,4,0,0.0,0.0,0,21,14,0,198.0,3,4,2,2,0,0,0,0,1,0
用户3454,10,10,10,9,0,0,0,0.0,0.0,1,8,17,1,312.0,3,2,4,4,0,0,0,0,1,0
用户3455,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,372.0,3,1,1,0,0,0,0,1,0,0
用户3456,9,9,9,9,0,0,0,0.0,0.0,0,15,17,1,167.0,3,0,0,0,0,0,0,1,0,0
用户3457,8,7,8,8,0,0,0,0.0,5.9,0,21,1,1,261.0,4,3,3,1,0,0,0,0,1,0
用户3458,8,8,9,9,0,0,2,0.0,0.0,1,21,1,0,837.0,3,2,2,2,0,0,0,1,0,0
用户3459,8,8,7,9,0,0,0,0.0,0.0,0,21,1,1,531.0,3,2,3,1,0,0,0,0,0,1
用户3460,1,1,1,1,0,7,3,0.0,45.09,0,21,1,0,112.0,3,4,4,2,0,0,10,1,0,0
用户3461,10,10,10,10,0,0,1,0.0,0.0,0,3,17,1,1255.0,3,1,1,0,0,0,0,0,1,0
用户3462,10,10,10,10,1,0,0,0.0,0.0,0,8,17,1,71.0,4,0,0,0,0,0,0,0,0,1
用户3463,8,8,8,8,0,0,0,0.0,0.0,0,4,17,1,679.0,6,1,2,0,0,0,0,0,0,1
用户3464,9,9,8,8,0,0,0,292.26,54.93,0,8,17,1,207.0,3,2,2,2,0,0,0,1,0,0
用户3465,7,7,7,7,0,1744,2,0.0,0.0,1,21,1,1,310.0,3,3,1,0,0,0,0,1,0,0
用户3466,6,6,6,4,0,0,0,0.0,0.0,0,21,1,1,298.0,6,2,2,0,0,0,0,1,0,0
用户3467,1,1,1,1,0,6,0,0.0,0.0,1,21,1,1,517.0,3,3,4,3,10,0,10,1,0,0
用户3468,7,3,5,5,12,78,8,0.0,0.0,1,21,14,1,71.0,3,3,4,3,0,0,0,0,0,1
用户3469,9,9,9,9,0,0,1,0.0,0.0,1,21,1,0,980.0,3,2,1,0,0,0,0,0,1,0
用户3470,5,7,7,7,0,9,0,0.0,0.0,0,8,17,0,136.0,2,7,2,0,0,0,0,0,0,1
用户3471,9,8,8,8,0,0,4,0.0,0.0,0,21,1,1,128.0,3,0,0,0,0,0,0,1,0,0
用户3472,7,7,7,4,0,0,0,0.0,0.0,0,8,17,0,171.0,4,2,4,2,0,0,0,0,0,1
用户3473,2,5,2,2,0,0,0,0.0,0.0,0,11,17,0,46.0,3,3,2,1,0,0,10,0,0,1
用户3474,9,9,9,8,0,0,0,0.0,0.0,0,21,1,1,146.0,3,2,1,0,0,0,0,0,0,1
用户3475,7,7,7,7,0,14,0,0.0,0.0,0,8,17,0,523.0,3,2,1,0,0,0,0,0,0,1
用户3476,7,7,6,7,0,0,0,0.0,0.0,0,21,1,1,918.0,6,2,4,3,0,0,0,0,0,1
用户3477,10,10,10,10,0,21,0,0.0,0.0,0,8,17,1,143.0,3,0,0,0,0,0,0,0,0,1
用户3478,7,8,8,9,0,0,0,0.0,0.0,0,11,17,1,15.0,3,0,0,0,0,0,0,0,0,1
用户3479,10,10,10,10,1,0,0,127.51,30.0,0,8,17,0,39.0,3,0,0,0,0,0,0,0,0,1
用户3480,10,8,9,10,0,0,0,0.0,0.0,0,15,17,1,126.0,4,2,1,2,0,0,0,1,0,0
用户3481,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,275.0,3,1,1,0,0,0,0,1,0,0
用户3482,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,100.0,3,0,0,0,0,0,0,0,0,1
用户3483,10,10,10,10,0,0,26,0.0,0.0,0,11,17,0,260.0,4,0,0,0,0,0,0,0,0,1
用户3484,6,5,7,8,0,0,0,218.17,21.46,0,8,17,1,67.0,3,1,2,0,0,0,0,1,0,0
用户3485,7,5,5,8,1,0,0,0.0,0.0,0,21,1,1,18.0,2,6,3,2,0,10,0,0,0,1
用户3486,10,10,10,10,0,0,8,0.0,0.0,0,21,1,0,196.0,4,0,0,0,0,0,0,1,0,0
用户3487,9,9,8,8,0,0,0,0.0,0.0,0,16,17,1,116.0,3,1,1,0,0,0,0,0,0,1
用户3488,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,151.0,3,0,0,0,0,0,0,0,0,1
用户3489,10,8,8,8,0,0,1,0.0,0.0,1,11,17,0,366.0,3,2,4,2,0,0,10,1,0,0
用户3490,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,170.0,3,0,0,0,0,0,0,0,0,1
用户3491,7,6,6,5,1,8,0,0.0,0.0,1,8,17,1,209.0,3,2,3,0,0,0,0,1,0,0
用户3492,8,8,8,7,0,0,0,0.0,0.0,0,8,17,0,78.0,3,5,2,0,0,0,0,0,0,1
用户3493,10,7,8,9,0,0,0,0.0,60.0,0,21,1,0,94.0,3,2,2,0,0,0,0,1,0,0
用户3494,10,10,10,10,0,94,0,0.0,0.0,0,21,1,0,368.0,6,0,0,0,0,0,0,0,0,1
用户3495,9,9,9,8,0,0,0,0.0,0.0,0,8,17,1,47.0,3,0,0,0,0,0,0,0,0,1
用户3496,5,8,5,5,1,0,0,620.86,18.0,1,8,17,0,369.0,4,5,2,1,10,0,0,1,0,0
用户3497,10,9,9,9,0,0,0,0.0,0.0,0,11,17,0,2.0,2,0,0,0,0,0,0,0,0,1
用户3498,6,6,4,4,0,0,2,0.0,0.0,0,8,17,0,4.0,3,1,1,1,0,0,0,0,0,1
用户3499,8,8,8,7,1,0,0,0.0,0.0,0,21,1,0,910.0,5,1,3,3,0,0,10,0,0,1
用户3500,8,8,8,8,0,0,0,0.0,0.0,0,11,17,1,1002.0,4,3,2,1,0,0,10,0,0,1
用户3501,8,7,7,7,0,0,0,0.0,0.0,0,11,17,1,156.0,3,1,2,2,0,0,0,1,0,0
用户3502,1,1,1,1,1,0,0,0.0,0.0,0,11,17,0,775.0,3,1,1,0,0,0,0,0,0,1
用户3503,1,1,1,1,0,0,0,0.0,0.0,1,8,17,0,671.0,2,1,1,0,0,0,0,0,0,1
用户3504,10,8,8,8,0,0,7,0.0,10.0,0,21,1,0,26.0,3,1,3,0,0,0,0,1,0,0
用户3505,4,5,3,4,0,46,0,0.0,0.0,0,21,1,1,107.0,4,3,3,0,0,0,0,1,0,0
用户3506,10,10,10,10,0,0,3,0.0,0.0,0,8,17,1,791.0,2,0,0,0,0,0,0,0,0,1
用户3507,4,4,4,4,1,0,6,0.0,0.0,1,8,17,0,621.0,4,1,2,1,0,0,10,0,0,1
用户3508,9,9,9,9,0,0,0,0.0,0.0,0,21,14,0,85.0,3,1,1,0,0,0,0,1,0,0
用户3509,7,3,7,5,0,3,2,0.0,0.0,0,21,1,0,48.0,3,1,2,0,0,0,0,1,0,0
用户3510,5,3,3,5,0,0,0,0.0,0.0,0,21,1,1,142.0,5,12,1,1,0,0,10,1,0,0
用户3511,9,9,8,8,0,8,0,0.0,0.0,0,8,17,1,716.0,4,0,0,0,0,0,0,0,0,1
用户3512,8,7,7,7,0,0,0,0.0,0.0,0,8,17,1,192.0,4,5,4,2,0,0,0,1,0,0
用户3513,2,2,3,1,0,9,0,0.0,0.0,1,21,1,1,115.0,3,4,4,3,0,0,0,1,0,0
用户3514,10,8,8,8,0,0,0,0.0,0.0,0,8,17,1,1941.0,6,0,0,0,0,0,0,0,0,1
用户3515,8,7,8,6,0,0,0,0.0,0.0,0,21,14,0,107.0,3,2,3,0,0,0,0,0,0,1
用户3516,8,7,8,8,0,0,0,0.0,0.0,0,21,1,0,178.0,4,3,2,0,0,0,0,1,0,0
用户3517,1,1,1,1,3,0,0,0.0,0.0,1,8,17,0,268.0,3,1,2,0,0,0,0,0,0,1
用户3518,9,9,9,8,5,0,0,0.0,0.0,0,16,17,0,41.0,3,2,2,0,0,0,0,1,0,0
用户3519,9,8,8,8,0,0,0,0.0,0.0,1,21,1,0,44.0,4,0,0,0,0,0,0,1,0,0
用户3520,7,6,5,7,0,0,0,0.0,0.0,0,21,1,1,742.0,3,3,3,0,0,0,0,0,0,1
用户3521,6,6,6,6,0,8,0,0.0,0.0,1,21,1,1,315.0,3,1,2,1,0,0,10,0,0,1
用户3522,8,7,8,7,0,0,0,0.0,0.0,1,21,1,0,422.0,3,4,4,5,0,0,0,0,0,1
用户3523,6,7,6,5,0,0,0,0.0,0.0,0,8,17,1,18.0,3,1,2,1,0,0,0,1,0,0
用户3524,10,10,10,10,0,0,0,0.0,0.0,0,21,14,0,55.0,3,0,0,0,0,0,0,1,0,0
用户3525,8,8,7,7,0,0,0,0.0,0.0,0,8,17,0,97.0,3,1,0,0,0,0,0,1,0,0
用户3526,7,6,6,6,0,15,1,0.0,0.0,0,8,17,0,130.0,3,1,1,0,0,0,0,1,0,0
用户3527,8,7,7,7,0,0,2,0.0,0.0,0,21,1,1,520.0,4,4,3,0,0,0,0,0,1,0
用户3528,8,8,8,8,0,0,2,0.0,0.0,0,21,1,0,215.0,3,3,3,0,0,0,0,1,0,0
用户3529,10,9,10,10,0,0,0,0.0,0.0,0,21,1,1,54.0,3,0,0,0,0,0,0,1,0,0
用户3530,10,9,9,9,0,0,6,0.0,0.0,1,21,14,0,212.0,3,1,1,0,0,0,0,0,1,0
用户3531,10,10,10,10,0,0,0,0.0,0.0,1,15,17,1,164.0,2,4,4,4,0,0,0,1,0,0
用户3532,10,10,10,10,0,0,1,0.0,0.0,0,8,17,0,388.0,4,0,0,0,0,0,0,0,0,1
用户3533,8,9,9,9,0,0,0,0.0,0.0,0,8,17,1,328.0,5,1,4,2,0,0,0,0,0,1
用户3534,9,8,8,8,0,0,3,0.0,0.0,0,21,1,0,686.0,3,4,3,0,0,0,0,0,0,1
用户3535,9,10,9,10,0,0,0,0.0,0.0,1,21,14,0,11.0,3,1,2,1,0,0,0,0,0,1
用户3536,3,3,5,5,0,0,0,0.0,0.0,0,8,17,0,406.0,4,2,4,3,0,0,10,0,0,1
用户3537,10,10,9,9,0,15,0,0.0,0.0,0,8,17,0,48.0,3,1,2,0,0,0,0,0,1,0
用户3538,8,8,7,7,0,0,0,0.0,0.0,0,28,11,1,107.0,3,3,2,0,0,0,0,0,0,1
用户3539,4,5,3,3,0,10,0,0.0,0.0,0,21,1,0,113.0,3,3,4,3,0,0,10,1,0,0
用户3540,5,5,3,3,0,0,0,0.0,0.0,0,21,1,1,314.0,4,2,3,2,0,0,10,0,0,1
用户3541,5,3,3,3,0,0,0,0.0,0.0,1,15,17,1,340.0,3,2,4,3,10,0,10,1,0,0
用户3542,10,10,10,10,0,0,0,0.0,0.0,0,11,17,1,19.0,3,1,1,0,0,0,0,1,0,0
用户3543,8,8,8,8,1,0,0,99.43,3.03,0,8,17,0,148.0,5,0,0,0,0,0,0,0,0,1
用户3544,8,8,8,8,15,0,0,0.0,0.0,1,21,1,1,1356.0,3,0,0,0,0,0,0,0,0,1
用户3545,10,10,10,10,0,0,0,0.0,97.0,0,15,17,0,22.0,2,0,0,0,0,0,0,0,0,1
用户3546,5,5,5,5,0,0,0,0.0,0.0,0,8,17,1,246.0,3,0,1,0,0,0,0,1,0,0
用户3547,10,10,10,10,0,0,0,0.0,0.0,1,21,1,1,60.0,3,0,0,0,0,0,0,1,0,0
用户3548,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,102.0,3,0,0,0,0,0,0,0,0,1
用户3549,10,9,10,9,0,0,0,0.0,0.0,0,11,17,1,332.0,4,2,1,0,0,0,0,0,0,1
用户3550,10,8,9,10,0,0,0,0.0,0.0,0,8,17,0,19.0,3,4,2,0,0,0,0,0,0,1
用户3551,9,8,8,9,0,0,0,0.0,0.0,0,11,17,1,66.0,3,2,4,2,0,0,0,0,0,1
用户3552,9,9,9,9,1,0,7,0.0,0.0,0,11,17,0,164.0,3,2,2,0,0,0,0,0,0,1
用户3553,4,1,3,6,0,0,1,218.22,52.0,0,21,14,0,37.0,3,0,0,0,0,0,0,1,0,0
用户3554,9,9,9,9,0,0,0,0.0,0.0,0,8,17,1,886.0,4,0,0,0,0,0,0,0,0,1
用户3555,7,8,8,7,0,0,1,0.0,0.0,0,21,1,1,121.0,3,2,2,0,0,0,0,1,0,0
用户3556,6,5,6,3,0,0,1,0.0,0.0,0,21,14,0,203.0,3,1,2,0,0,0,0,1,0,0
用户3557,9,9,9,9,0,0,0,0.0,0.0,0,16,17,1,52.0,3,0,0,0,0,0,0,0,0,1
用户3558,8,7,7,7,0,8,0,0.0,0.0,0,21,14,0,65.0,3,3,2,0,0,0,0,1,0,0
用户3559,6,7,7,7,0,0,0,0.0,0.0,0,11,17,0,11.0,3,1,1,0,0,0,0,0,0,1
用户3560,3,4,5,5,0,0,0,0.0,0.0,0,21,1,1,240.0,2,0,0,0,0,0,0,0,0,1
用户3561,10,10,10,10,0,0,2,0.0,0.0,0,21,1,0,227.0,3,0,0,0,0,0,0,0,0,1
用户3562,8,9,8,7,2,0,0,0.0,0.0,1,8,17,1,1977.0,4,0,0,0,0,0,0,0,0,1
用户3563,7,7,7,7,0,0,3,0.0,0.0,0,21,14,0,3383.0,4,0,0,0,0,0,0,0,0,1
用户3564,9,9,7,7,0,0,0,0.0,0.0,0,8,17,1,247.0,3,3,1,0,0,0,0,1,0,0
用户3565,5,5,5,5,0,7,0,0.0,0.0,0,21,1,1,2027.0,3,4,4,3,0,0,0,0,0,1
用户3566,9,8,10,9,2,0,0,0.0,0.0,0,21,1,1,35.0,3,0,0,0,0,0,0,0,0,1
用户3567,9,9,9,9,1,0,0,0.0,0.0,1,8,17,1,733.0,3,2,2,0,0,0,0,0,0,1
用户3568,10,10,10,10,0,0,0,0.0,0.0,0,15,17,0,184.0,3,0,0,0,0,0,0,0,0,1
用户3569,10,10,10,10,0,0,1,0.0,0.0,0,21,1,0,180.0,3,0,0,0,0,0,0,0,0,1
用户3570,9,9,9,9,2,12,1,0.0,0.0,0,21,1,0,373.0,3,1,3,2,0,0,10,0,0,1
用户3571,7,9,10,6,0,0,0,0.0,0.0,0,21,1,0,124.0,5,2,3,0,0,0,0,0,0,1
用户3572,10,10,10,10,0,0,3,0.0,0.0,0,21,1,0,543.0,5,0,0,0,0,0,0,0,0,1
用户3573,10,10,10,10,1,0,1,0.0,0.0,0,11,17,1,187.0,3,1,1,0,0,0,0,0,0,1
用户3574,3,3,3,3,0,6,13,0.0,0.0,0,16,17,1,303.0,3,5,3,3,0,0,0,1,0,0
用户3575,8,8,7,8,0,0,0,0.0,0.0,0,16,17,0,327.0,4,1,2,1,0,0,0,0,0,1
用户3576,9,9,9,9,0,0,3,0.0,0.0,0,21,1,0,66.0,3,3,2,0,0,0,0,1,0,0
用户3577,10,10,10,10,1,0,1,30.64,10.0,0,21,1,0,159.0,3,1,1,0,0,0,0,0,0,1
用户3578,6,6,6,6,0,141,0,0.0,10.0,0,11,17,0,184.0,3,4,3,1,0,0,10,0,0,1
用户3579,8,8,7,8,0,0,0,0.0,0.0,1,21,1,1,396.0,3,1,2,2,0,0,0,1,0,0
用户3580,5,4,4,3,2,13,0,644.79,18.0,0,21,14,0,137.0,3,3,4,2,0,10,0,0,0,1
用户3581,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,409.0,2,0,0,0,0,0,0,1,0,0
用户3582,3,5,8,5,2,0,0,0.0,0.0,0,8,17,1,409.0,5,2,3,0,0,0,0,0,0,1
用户3583,10,10,10,10,2,0,2,0.0,0.0,0,21,14,0,139.0,3,0,0,0,0,0,0,0,0,1
用户3584,3,3,3,3,0,0,0,34.23,30.0,0,11,6,1,259.0,3,2,4,3,0,0,0,0,0,1
用户3585,10,10,10,10,0,26,3,0.0,45.0,0,21,14,0,574.0,4,0,0,0,0,0,0,0,0,1
用户3586,5,2,2,3,0,0,0,0.0,0.0,0,8,17,1,588.0,4,1,4,3,0,10,0,0,0,1
用户3587,10,10,10,8,0,0,0,0.0,0.0,0,21,14,0,202.0,3,2,1,0,0,0,0,0,0,1
用户3588,10,10,10,10,0,0,4,0.0,0.0,1,21,1,0,863.0,3,0,0,0,0,0,0,0,0,1
用户3589,10,10,10,10,0,0,0,0.0,0.0,1,21,14,0,336.0,4,0,0,0,0,0,0,0,1,0
用户3590,8,9,8,8,7,0,0,0.0,0.0,1,8,17,0,723.0,3,2,1,2,0,0,0,0,0,1
用户3591,6,6,6,6,0,0,0,0.0,0.0,1,21,1,0,249.0,3,3,4,3,0,0,0,1,0,0
用户3592,10,10,10,10,0,0,8,0.0,0.0,1,21,1,0,266.0,3,2,2,0,0,0,0,0,0,1
用户3593,8,8,8,8,0,0,0,0.0,0.0,0,21,1,0,58.0,3,3,2,1,0,0,0,1,0,0
用户3594,8,8,8,8,0,0,0,0.0,0.0,0,8,17,0,594.0,2,0,0,0,0,0,0,1,0,0
用户3595,5,5,9,5,0,49,1,0.0,24.0,0,21,1,0,71.0,4,1,2,0,0,0,0,1,0,0
用户3596,8,6,6,5,0,12,0,0.0,0.0,0,21,1,0,57.0,4,4,4,2,0,0,10,1,0,0
用户3597,7,7,7,7,0,9,0,0.0,0.0,0,21,1,1,44.0,4,3,3,0,0,0,0,1,0,0
用户3598,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,202.0,3,1,1,0,0,0,0,1,0,0
用户3599,2,2,2,2,0,6,0,0.0,0.0,0,21,1,0,86.0,3,1,3,0,0,0,0,0,0,1
用户3600,1,1,1,1,0,0,0,0.0,6.09,0,8,17,0,41.0,2,0,0,0,0,0,0,0,0,1
用户3601,9,9,9,9,0,0,3,0.0,0.0,1,21,14,0,338.0,3,1,1,0,0,0,0,1,0,0
用户3602,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,1040.0,4,0,0,0,0,0,0,0,0,1
用户3603,5,5,5,5,0,0,0,0.0,0.0,0,21,14,0,146.0,4,5,4,2,0,0,0,0,0,1
用户3604,5,4,4,4,0,12,0,0.0,0.0,0,21,1,1,270.0,3,4,4,4,0,0,0,0,0,1
用户3605,6,4,5,6,2,27,0,0.0,0.0,0,11,17,1,12.0,1,1,1,0,0,0,0,0,0,1
用户3606,5,3,3,4,2,70,3,0.0,0.0,0,15,17,1,193.0,3,1,3,4,0,10,0,1,0,0
用户3607,8,8,8,8,0,0,0,0.0,0.0,0,8,17,0,527.0,3,0,0,0,0,0,0,0,0,1
用户3608,9,9,9,8,0,0,0,0.0,0.0,1,21,1,1,1457.0,3,2,3,1,0,0,0,0,0,1
用户3609,7,7,5,5,0,0,0,0.0,0.0,0,21,14,0,444.0,4,1,4,4,10,0,10,1,0,0
用户3610,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,109.0,3,0,0,0,0,0,0,0,0,1
用户3611,5,5,4,5,0,0,0,0.0,0.0,0,8,17,0,42.0,2,2,2,2,0,0,0,0,0,1
用户3612,10,10,10,10,0,0,0,0.0,0.0,1,8,17,0,522.0,3,0,0,0,0,0,0,0,0,1
用户3613,9,9,9,9,0,5,0,0.0,0.0,0,21,1,1,263.0,4,1,1,0,0,0,0,0,0,1
用户3614,9,8,9,7,2,0,13,0.0,0.0,0,21,14,0,66.0,3,2,2,2,0,0,0,0,0,1
用户3615,8,8,8,7,0,0,1,0.0,0.0,0,21,14,0,205.0,3,3,2,0,0,0,0,1,0,0
用户3616,9,9,9,9,0,0,0,0.0,0.0,0,8,17,1,290.0,3,0,0,0,0,0,0,0,0,1
用户3617,9,9,9,7,0,0,1,0.0,0.0,0,21,1,1,194.0,3,1,1,0,0,0,0,1,0,0
用户3618,10,10,10,10,0,0,0,0.0,0.0,0,15,17,1,123.0,3,0,0,0,0,0,0,0,0,1
用户3619,5,5,8,4,0,6,0,0.0,0.0,0,21,1,0,519.0,3,3,4,3,0,0,0,0,0,1
用户3620,9,9,8,8,0,0,1,0.0,0.0,0,21,1,1,90.0,3,1,2,1,0,0,0,1,0,0
用户3621,8,8,8,8,0,0,0,0.0,0.0,0,8,17,1,159.0,5,2,1,0,0,0,0,0,0,1
用户3622,1,1,1,1,0,6,1,0.0,0.0,0,21,14,0,382.0,3,7,3,5,10,10,10,0,0,1
用户3623,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,704.0,4,2,2,2,0,0,0,0,0,1
用户3624,9,9,9,9,0,0,2,0.0,0.0,0,8,17,1,2714.0,3,1,1,0,0,0,0,0,0,1
用户3625,1,1,1,5,0,0,4,0.0,0.0,1,21,1,1,328.0,3,4,2,3,10,10,10,0,0,1
用户3626,5,5,5,5,0,175,1,0.0,0.0,0,21,1,0,64.0,3,1,4,2,0,0,0,1,0,0
用户3627,5,5,6,6,1,73,2,0.0,0.0,0,8,17,1,28.0,2,1,3,0,0,0,0,0,0,1
用户3628,10,7,10,10,0,0,0,0.0,18.0,0,8,17,1,506.0,4,1,2,1,0,0,0,1,0,0
用户3629,9,5,7,7,0,1,1,0.0,0.0,0,21,1,0,586.0,4,2,2,0,0,0,0,1,0,0
用户3630,8,9,8,8,0,0,0,0.0,0.0,0,25,17,0,296.0,3,0,0,0,0,0,0,0,0,1
用户3631,8,7,7,7,0,0,0,0.0,0.0,0,21,1,1,22.0,3,0,0,0,0,0,0,0,0,1
用户3632,8,8,8,8,0,0,0,0.0,0.0,1,8,17,0,145.0,3,1,2,1,0,0,0,0,0,1
用户3633,10,10,10,9,4,0,1,0.0,0.0,0,21,14,0,205.0,3,1,1,1,0,0,0,0,0,1
用户3634,10,10,10,10,0,0,2,0.0,0.0,0,21,14,1,135.0,4,2,4,3,0,0,0,0,0,1
用户3635,8,8,8,7,0,0,0,0.0,0.0,1,21,1,0,655.0,3,3,2,2,0,0,10,1,0,0
用户3636,8,8,8,7,0,15,0,0.0,0.0,0,8,17,0,403.0,3,0,0,0,0,0,0,0,0,1
用户3637,10,10,10,10,1,0,3,0.0,0.0,1,8,17,0,394.0,4,0,0,0,0,0,0,0,0,1
用户3638,9,9,9,9,0,0,0,0.0,0.0,0,21,1,0,164.0,3,0,0,0,0,0,0,1,0,0
用户3639,10,10,10,10,0,58,0,0.0,0.0,0,8,17,1,63.0,4,0,0,0,0,0,0,0,0,1
用户3640,1,1,1,1,1,126,18,180.01,5.0,1,21,1,0,112.0,3,2,4,5,10,10,0,0,0,1
用户3641,10,10,10,9,0,0,0,0.0,0.0,0,11,17,1,43.0,3,3,4,1,0,0,0,0,0,1
用户3642,5,5,5,5,0,0,0,0.0,0.0,1,21,1,1,81.0,3,1,1,2,0,0,0,0,0,1
用户3643,9,9,9,8,0,0,0,0.0,10.0,0,21,1,1,400.0,3,3,2,0,0,0,0,1,0,0
用户3644,10,10,10,10,0,0,0,0.0,0.0,0,11,17,0,265.0,3,0,0,0,0,0,0,1,0,0
用户3645,8,10,5,9,0,0,0,0.0,20.0,0,1,17,0,47.0,3,0,0,0,0,0,0,0,0,1
用户3646,9,7,7,8,0,0,0,0.0,0.0,0,21,1,0,184.0,3,0,0,0,0,0,0,1,0,0
用户3647,8,7,8,7,0,0,0,0.0,0.0,0,21,14,0,123.0,3,2,1,0,0,0,0,1,0,0
用户3648,9,9,9,9,0,0,0,0.0,40.0,0,21,1,0,181.0,3,2,2,0,0,0,0,1,0,0
用户3649,10,10,10,10,0,0,0,0.0,0.0,0,11,6,1,34.0,3,0,0,0,0,0,0,0,0,1
用户3650,8,8,8,8,0,0,0,0.0,0.0,1,8,17,1,357.0,3,0,0,0,0,0,0,0,0,1
用户3651,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,154.0,3,1,3,0,0,0,0,0,0,1
用户3652,10,10,10,9,0,0,0,0.0,0.0,0,1,17,1,854.0,3,2,4,2,0,0,0,1,0,0
用户3653,8,8,8,9,3,0,0,0.0,0.0,0,11,17,1,262.0,2,2,2,0,0,0,0,0,0,1
用户3654,5,7,4,7,0,0,0,0.0,0.0,0,21,1,1,284.0,4,1,1,1,0,0,0,0,0,1
用户3655,1,1,1,1,0,0,0,0.0,0.0,1,8,17,1,436.0,3,1,1,0,0,0,0,0,0,1
用户3656,3,5,5,3,0,0,0,0.0,0.0,0,21,14,0,311.0,3,2,3,3,0,10,0,1,0,0
用户3657,3,2,3,4,0,6,2,0.0,0.0,0,21,1,1,94.0,3,5,4,5,10,0,10,0,0,1
用户3658,2,2,2,4,0,14,0,0.0,0.0,0,11,17,1,105.0,2,1,1,0,0,0,0,0,0,1
用户3659,10,10,10,10,0,0,0,0.0,0.0,1,8,17,1,117.0,3,0,0,0,0,0,0,0,0,1
